id,name,description,price,stock,unlimited_stock,status,createdAt,updatedAt,deletedAt,sku
126,Pasta Gigi Nasa 120 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,8714
127,BRITISH PROPOLIS green,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,BP 2
128,Sifat Shalat Nabi Saku,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 032
129,Qusthul Hindi 60 Kapsul,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 00856
130,Sirah Nabawiyah UQ,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,UQ 3391
131,Wookey Wight Rasa Coklat Susu Penggemuk badan,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,WOOKEY
132,Bumbu Nasi Kebuli 100gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR032516
133,Salep Wasiat Guci Pusaka,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,SLP 1
134,Superfood Royal Kurma 500gr (Pengganti Multigrain),-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mganik 007
135,MGanik 3peptide 330 g,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mganik 001
136,Kurma Ruthab Libya 500 Gram,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kurma 516
137,Al Quran Al Madinah A5 QPP,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS DA MASA5 QPP
138,Parfum Oud Mood 35 ML Spray,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,OUD SERIES 4
139,Adab & Akhlak Penuntut Ilmu,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PAT-02
140,Panduan Adab & Akhlak Islami,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0267
141,Buku Praktis Sifat Shalat Nabi DH,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0308
142,Cuka Apel Tahesta 300 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3444
143,Parfum Bibit Raudah Raudhah 6ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Bibit 02
144,Madu Al Shifa 250 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3448
145,AL Quran Arafah A5 Tajwid,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 086
146,Komik Hadits Arbain An Nawawi 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 004
147,Iqro HVS Besar + Juz Amma,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMM 002
148,Iqro QR Milenial,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1202
149,Sari Kurma Madu Angkak Kelor Syifa 470 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Asyifa 122232
150,Etawa putih Vanila  Ratu Lebah 250 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Ratu Lebah 2146
151,Parfum L Amor Spray 30 ML,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR02252
152,Prouratik 350 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 2354
153,Extra Virgin Olive Oil MUMTAZ 175 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Syifa 009
154,Daun Kelor 60 kp,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 0018
155,MGanik Metafiber Rasa Leci 450 g,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mganik 002
156,Souvenir Kumpulan Doa Umrah dan Haji,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PAT-21
157,Kurma Tunis Palm Fruit 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kurma 1549
158,Tata Cara Mengurus Jenazah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 155
159,Parfum Oud Bukiyah 35 ML Spray,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,OUD SERIES 10
160,Meneladani Shalat & Wudhu Nabi,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 175
161,Al Quran Ash Shahib A5 Tajwid,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Hilal M 18
162,Madu Ratik 175 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,KHARISMA 01
163,Fiqih Sunnah Wanita GI,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,GI 013
164,40 Karakteristik Mereka yg DICINTAI Allah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0218
165,Matan Al Jurumiyah saku,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kitab 0712
166,Kitab Tauhid At- Tamimi,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0014
167,Jahe Merah AMH Amanah Susu,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMH 004
168,Kurma Sukari Ember Castle Farm 850 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Castle Farm 04
169,Kopi Pede Kotak,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,5043
170,Paket Mudah Bahasa Arab SD / MI,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 035
171,Iqro Koran Kecil,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMM 006
172,Kopdar Instan Coffee Sachet 125 gr Mitoha,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Darusyifa 54
173,Mushaf At Tajwid A4 HC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,UQ 5166
174,Madu Pahit Naturafit 330 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR112416
175,Kurma Medjoul Palestine Clasic 500 gr Castle Farm,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR122415
176,Permen Himalaya Salt Lemon,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,SM 002
177,Al Quran Al Huda A4 HC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR05259
178,Madu Stamen Penyubur Pria 350 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 0320
179,Melia Propolis 6 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR1024129
180,Juz Amma terjemah Koran 14 x 20 Nuun,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Sobat 1300
181,Kurma Mabroom,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR01256
182,Kitabah Belajar Menulis Arab,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS KBMA
183,Intisari Hilyah Thalibil Ilmi,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mufid 18951
184,Matan Ushul Tsalastah Saku,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0255
185,40 Nasihat Memperbaiki Rumah Tangga,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0005
186,Baina Yadaik 1 (1/1) FMG,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kitab 0738
187,Ulasan Tuntas 3 Prinsip Pokok,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 2943
188,Al Quran Al Kamil A5 HC Rasm Utsmani HVS,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DS 4533
189,100 Hadis Populer Untuk Hafalan,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Elba 5088
190,Talbinah 400 gr Asabil Amin Food,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3489
191,Matan Kitab Al Jami Arafah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 0013
192,Al Quran Al Kabir B4,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Cordoba 9128
